Intensity Level,Direction,Ground Motion ID,story 1,story 2,story 3,story 4,story 5,story 6,story 7,story 8,story 9,story 10,story 11,story 12,story 13,story 14,story 15,story 16,story 17,story 18,story 19,story 20,story 21,story 22,story 23,story 24,story 25,story 26,story 27,story 28,story 29,story 30,story 31,story 32,story 33,story 34,story 35,story 36,story 37,story 38,story 39,story 40,story 41,story 42,story 43,story 44
DBEB,X,1,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07,9.11E-07
DBEB,X,2,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06
DBEB,X,3,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04
DBEB,X,4,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04,7.82E-04
DBEB,X,5,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03
DBEB,X,6,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03,2.04E-03
DBEB,X,7,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03,1.42E-03
DBEB,X,8,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04
DBEB,X,9,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06,1.99E-06
DBEB,X,10,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06,1.84E-06
