Intensity Level,Direction,Ground Motion ID,floor 1,floor 2,floor 3,floor 4,floor 5,floor 6,floor 7,floor 8,floor 9,floor 10,floor 11,floor 12,floor 13,floor 14,floor 15,floor 16,floor 17,floor 18,floor 19,floor 20,floor 21,floor 22,floor 23,floor 24,floor 25,floor 26,floor 27,floor 28,floor 29,floor 30,floor 31,floor 32,floor 33,floor 34,floor 35,floor 36,floor 37,floor 38,floor 39,floor 40,floor 41,floor 42,floor 43,floor 44,floor 45
DBEB,X,1,0.126666408,0.133691272,0.147073556,0.15500518,0.153539239,0.140190624,0.135570837,0.143277907,0.174773634,0.189281533,0.18270474,0.178783994,0.172390054,0.16043512,0.140952862,0.147079254,0.173947682,0.191700855,0.192021497,0.180638436,0.17324087,0.169697747,0.182088319,0.182993784,0.158156954,0.154043253,0.193511267,0.223121212,0.227779332,0.205595183,0.179836053,0.189687128,0.206284382,0.204700337,0.195883968,0.197728309,0.197514634,0.201574204,0.191276871,0.153917897,0.172374255,0.173340585,0.179247345,0.260805491,0.331380471
DBEB,X,2,0.169021238,0.179189588,0.200765864,0.212613054,0.218776483,0.223531469,0.220465423,0.211166537,0.197926703,0.215464128,0.206092981,0.216634033,0.231075369,0.231547009,0.219745144,0.216114996,0.212272727,0.204179487,0.181109557,0.190833981,0.188572132,0.206405335,0.210941725,0.203422429,0.20790417,0.20675395,0.235634033,0.263750324,0.272183372,0.24916058,0.233328412,0.211990676,0.221924631,0.235644393,0.241327117,0.197316757,0.192435379,0.212362341,0.239253561,0.237304325,0.240586118,0.259176379,0.236180523,0.297896918,0.396228956
DBEB,X,3,0.305449365,0.337474747,0.381111111,0.378580679,0.341968402,0.301673142,0.297839938,0.322634033,0.352965553,0.373097643,0.368658379,0.376990417,0.362183372,0.348119658,0.338231028,0.352636623,0.313923854,0.333908314,0.386037296,0.411862212,0.364905465,0.285905206,0.291771562,0.302735043,0.325938876,0.310883191,0.327306397,0.334496244,0.336164206,0.35048692,0.354042994,0.340525771,0.388466718,0.381030821,0.334415954,0.353180523,0.364540275,0.394923595,0.411033411,0.414900285,0.403988604,0.343356643,0.264636105,0.342996633,0.496114996
DBEB,X,4,0.121816369,0.122376586,0.121820772,0.124670811,0.124773116,0.134439005,0.153475524,0.17183942,0.180420098,0.176807304,0.169913494,0.170343175,0.185747734,0.194044548,0.185619011,0.178637918,0.179514893,0.17462186,0.197218078,0.199374514,0.182308469,0.171242424,0.181358197,0.182299145,0.196517224,0.196566175,0.183397824,0.181064491,0.194508677,0.181227402,0.171900803,0.182273504,0.182300958,0.1751295,0.180366226,0.185627299,0.184379953,0.208293965,0.215752137,0.190580938,0.18333152,0.188249158,0.209958301,0.245343693,0.301554002
DBEB,X,5,1.78E-01,0.190122248,0.215714323,0.233749029,0.232642839,0.202868169,0.190127946,0.19244807,0.200557369,0.203280497,0.202209531,0.205582751,0.208200725,0.197194509,0.17450531,0.166719503,0.191159803,0.240797721,0.276039886,0.274364154,0.233946387,0.17877467,0.196350168,0.202376327,0.215533023,0.211073297,0.20671251,0.209267547,0.215556592,0.188249158,0.196043771,0.212547268,0.251508418,0.223844082,0.193123543,0.176284382,0.217576535,0.278966589,0.252436933,0.267037037,0.308629889,0.255931883,0.176785548,0.205470603,0.31965812
DBEB,X,6,7.52E-01,0.804307174,0.916438746,1.004032634,0.94957265,0.774939135,0.773587154,0.763843564,0.75040404,0.753830614,0.711776742,0.697917638,0.688953639,0.685552966,0.685317275,0.657353017,0.64012691,0.677169127,0.685265475,0.628111888,0.694773375,0.720541311,0.656964517,0.67047138,0.63976172,0.584203574,0.621437451,0.575646206,0.596860917,0.5896633,0.641178451,0.565182595,0.664586895,0.655293965,0.675034965,0.633892774,0.506348096,0.58970474,0.634255374,0.680585341,0.675708366,0.696252266,0.465975136,0.406923077,0.812450142
DBEB,X,7,1.05E+00,1.089046879,1.24967107,1.276591557,1.170756281,1.026713287,1.006107226,1.018490028,1.020663041,1.032659933,1.025799016,1.010642321,1.00989122,0.998453768,0.993550894,0.986104636,0.966109816,0.947132867,0.960559441,0.923923854,0.855019425,0.812530433,0.86046361,0.894133644,0.873219373,0.811212121,0.753139083,0.762191142,0.795493395,0.868238798,0.825713546,0.793374773,0.656244496,0.733703704,0.683980834,0.696327376,0.80001813,0.884198394,0.784185444,0.766594147,0.570510231,0.684439264,0.555091945,0.705495985,0.918106708
DBEB,X,8,6.76E-01,0.73008288,0.813364413,0.812463092,0.747837348,0.586586377,0.524488474,0.545369075,0.609067599,0.681214711,0.732885263,0.737775188,0.700797721,0.65978503,0.65993784,0.694936545,0.724651645,0.738767159,0.745053095,0.736972287,0.727826988,0.713120953,0.668153328,0.637257187,0.651722352,0.6597151,0.636948977,0.555646206,0.47962445,0.505853406,0.548342398,0.51031598,0.505604766,0.573473193,0.515641026,0.445135975,0.44023569,0.612996633,0.602714323,0.52966848,0.471934732,0.457749288,0.447697488,0.4801554,0.742931883
DBEB,X,9,0.361794872,0.388896659,0.461574722,0.498891479,0.484087024,0.446019166,0.473675214,0.48970474,0.493885004,0.489134939,0.473364413,0.495975136,0.474270914,0.48954934,0.477062937,0.443473193,0.428412328,0.465881896,0.45008029,0.396197876,0.397969438,0.465835276,0.482665113,0.41001295,0.368728309,0.382465682,0.367490287,0.478034188,0.502512303,0.435726496,0.387174307,0.366689977,0.440619011,0.528329448,0.49049469,0.348140378,0.4399741,0.597099197,0.518720539,0.491864802,0.558505569,0.415599586,0.325405335,0.345459725,0.61014504
DBEB,X,10,0.37033929,0.384076664,0.424128464,0.407350427,0.384260554,0.392232582,0.37021497,0.365211085,0.374869205,0.375255115,0.367886558,0.389015799,0.391364931,0.422851593,0.434625745,0.41982906,0.428925149,0.434799275,0.406285936,0.373053613,0.386721057,0.413514634,0.411655012,0.388500389,0.355698006,0.356068376,0.360836571,0.352323232,0.385744626,0.402504533,0.424959855,0.393304843,0.37971251,0.394553225,0.404330484,0.332760943,0.419355089,0.463087283,0.467751878,0.432615903,0.395493395,0.349109039,0.389153069,0.364270914,0.526389536
DBEB,X,11,0.553690754,0.587228697,0.643258223,0.624757835,0.569352499,0.568974359,0.545907796,0.508772339,0.472740223,0.465584046,0.454921005,0.472131572,0.481447811,0.474568765,0.466394716,0.474063714,0.467575758,0.456907537,0.435780886,0.467860658,0.464819995,0.48994561,0.502618493,0.46035742,0.475128205,0.494066304,0.542864543,0.49991453,0.433926444,0.485439005,0.46016317,0.442877493,0.45032893,0.460764051,0.472885263,0.493934214,0.485791246,0.521976172,0.472185962,0.447283087,0.558303548,0.553830614,0.344273504,0.483442113,0.734426314
DBEB,Y,1,1.09E-01,0.111348873,0.119265475,0.120232582,0.113167832,0.147266511,0.164267547,0.119413364,0.11109324,0.117645947,0.155084952,0.15454934,0.094190883,0.110630925,0.120716395,0.11586532,0.124833981,0.143654235,0.171073815,0.164791505,0.12250531,0.19583165,0.188542865,0.155613831,0.130025382,0.129854442,0.155123802,0.170576276,0.132329189,0.190843823,0.198268583,0.150118881,0.129265475,0.120053613,0.156890961,0.16154675,0.128099197,0.168283605,0.178720021,0.150405076,0.15988863,0.170349132,0.197677545,0.23811396,0.243146335
DBEB,Y,2,2.10E-01,0.205361046,0.208828024,0.204101269,0.20230821,0.284599845,0.322608133,0.266941207,0.274188034,0.299241129,0.482279202,0.507536908,0.292439782,0.346120176,0.325620306,0.242791505,0.234623932,0.232269101,0.367013727,0.362836053,0.246008029,0.358293188,0.336651127,0.28047138,0.292929293,0.297026677,0.376260036,0.417052577,0.267132867,0.286840197,0.311841492,0.214520332,0.195748252,0.307024087,0.36047138,0.380909091,0.269010619,0.298474488,0.307433307,0.275410515,0.215781404,0.357285677,0.441846672,0.454628335,0.37974877
DBEB,Y,3,0.198272986,0.205527584,0.249475006,0.250906242,0.195332815,0.40015281,0.431655012,0.254235949,0.232107744,0.245260554,0.391238021,0.403312613,0.219276353,0.30950531,0.308912199,0.251560736,0.227943797,0.254424242,0.333711474,0.35971251,0.222954157,0.328769749,0.322204092,0.248892515,0.22812432,0.242897954,0.344592075,0.32009065,0.293794354,0.431678322,0.420554261,0.310668221,0.242386946,0.227676509,0.313566434,0.326203056,0.210962963,0.351743072,0.366529397,0.210601658,0.200370111,0.358842269,0.412924113,0.492162652,0.403734784
DBEB,Y,4,0.087329707,0.089348096,0.106045325,0.110416213,0.096097902,0.173650091,0.207047915,0.156293447,0.166407407,0.1816892,0.235879565,0.236449365,0.183228438,0.227998964,0.235603989,0.183353535,0.176199689,0.175366744,0.227143486,0.260717431,0.186546232,0.249480445,0.240527325,0.176632479,0.161650609,0.158482776,0.178727014,0.199749029,0.168611759,0.215861176,0.246282051,0.186433566,0.16479021,0.166766641,0.195249158,0.203081585,0.156607874,0.201112924,0.218467754,0.178463869,0.175983165,0.235872313,0.2595856,0.306661487,0.276586377
DBEB,Y,5,1.81E-01,0.18481611,0.218336441,0.226302253,0.205701632,0.280665631,0.307630148,0.211349909,0.191333074,0.188140119,0.321020461,0.344128464,0.160483035,0.279098679,0.31013468,0.196858845,0.220247086,0.231595701,0.381525512,0.383346283,0.161996374,0.290259,0.341206941,0.233968143,0.19329785,0.189141414,0.345514116,0.375120435,0.217171976,0.34970733,0.377816628,0.191485107,0.176610205,0.161308728,0.311642062,0.362802383,0.146415695,0.265529656,0.261416731,0.151059829,0.161516706,0.176055685,0.232711474,0.291831132,0.252907019
DBEB,Y,6,8.93E-01,0.86952344,0.995130795,1.043506864,0.839386169,1.638591039,1.917327117,0.96953898,0.922074592,0.743509454,2.42046361,2.757912458,1.035721316,1.214467754,1.308487438,0.811911422,0.875972546,0.842639213,1.415843046,1.660991971,0.575990676,1.371758612,1.301250971,0.743361823,0.757935768,0.726420616,1.086272986,0.981844082,0.55013727,1.098749029,1.342217042,0.726205646,0.553986014,0.391857032,0.860849521,1.02042217,0.372434602,1.134382284,1.13973064,0.512015022,0.37014245,0.342779073,0.570748511,0.714118104,0.523043253
DBEB,Y,7,8.04E-01,0.750973841,0.984783735,0.933369593,0.722152292,1.091585082,1.209741,0.791976172,0.807231287,0.738142968,1.152727273,1.411939912,0.643234913,0.949456099,1.054638695,0.69015799,0.64017612,0.533185703,0.804737115,0.982646983,0.517868428,0.790841751,0.865783476,0.624403004,0.60953898,0.57985496,0.906436156,0.975480445,0.552794613,0.937135457,1.051797462,0.577371147,0.545734266,0.526721057,0.796438746,0.827226107,0.561572132,1.037122507,1.138580679,0.612507123,0.354542865,0.374851075,0.708951049,0.814467754,0.660893551
DBEB,Y,8,4.94E-01,0.528479668,0.827355607,0.871214711,0.544884745,0.92975395,1.315713546,0.756177156,0.687681948,0.459383579,1.414356384,1.567785548,0.569368039,0.82980834,0.781880342,0.45026159,0.482882673,0.522530433,1.11982647,1.26968402,0.409044289,0.755677286,0.778155918,0.433429163,0.466200466,0.494555815,0.839357679,0.793387723,0.278502979,0.541346801,0.613556074,0.425560736,0.343633774,0.373146853,0.547811448,0.553833204,0.247772339,0.479220409,0.465159285,0.318549599,0.200933955,0.464843305,0.578565139,0.5204144,0.437179487
DBEB,Y,9,5.38E-01,0.57018389,0.774421134,0.746430976,0.482320642,0.753776224,0.808249158,0.543897954,0.5404403,0.396376586,0.784807045,1.017764828,0.295498575,0.413522404,0.602615903,0.285459725,0.384491064,0.391046361,0.543514634,0.655211085,0.266537167,0.503610464,0.522318052,0.422040922,0.296967107,0.270717431,0.567239057,0.618005698,0.278616939,0.352937063,0.431766382,0.279412069,0.256492618,0.247312872,0.452729863,0.521437451,0.242301476,0.458363118,0.442968143,0.303646724,0.261649832,0.418347578,0.53009842,0.443527584,0.485286195
