Intensity Level,Direction,Ground Motion ID,RD
DBEB,X,1,9.11E-07
DBEB,X,2,1.38E-06
DBEB,X,3,1.93E-04
DBEB,X,4,7.82E-04
DBEB,X,5,1.40E-03
DBEB,X,6,2.04E-03
DBEB,X,7,1.42E-03
DBEB,X,8,3.49E-04
DBEB,X,9,1.99E-06
DBEB,X,10,1.84E-06
DBEB,X,11,3.67E-06
DBEB,Y,1,2.06E-06
DBEB,Y,2,7.17E-06
DBEB,Y,3,7.66E-04
DBEB,Y,4,1.20E-03
DBEB,Y,5,2.65E-03
DBEB,Y,6,5.73E-04
DBEB,Y,7,2.40E-04
DBEB,Y,8,2.21E-03
DBEB,Y,9,7.45E-04
DBEB,Y,10,2.56E-04
DBEB,Y,11,7.05E-04
MCEB,X,1,5.26E-04
MCEB,X,2,1.21E-03
MCEB,X,3,1.04E-04
MCEB,X,4,1.71E-03
MCEB,X,5,2.53E-03
MCEB,X,6,4.00E-03
MCEB,X,7,1.19E-03
MCEB,X,8,1.29E-03
MCEB,X,9,1.96E-04
MCEB,X,10,1.14E-04
MCEB,X,11,2.52E-06
MCEB,Y,1,6.12E-07
MCEB,Y,2,8.39E-06
MCEB,Y,3,2.45E-03
MCEB,Y,4,1.57E-03
MCEB,Y,5,3.44E-03
MCEB,Y,6,1.34E-03
MCEB,Y,7,1.39E-04
MCEB,Y,8,3.04E-03
MCEB,Y,9,8.03E-04
MCEB,Y,10,1.29E-03
MCEB,Y,11,1.23E-03
DBED,X,1,1.76E-03
DBED,X,2,2.05E-03
DBED,X,3,1.50E-03
DBED,X,4,1.78E-03
DBED,X,5,2.81E-03
DBED,X,6,4.51E-04
DBED,X,7,1.00E-02
DBED,X,8,2.53E-03
DBED,X,9,3.36E-03
DBED,X,10,1.96E-04
DBED,X,11,1.11E-03
DBED,Y,1,2.30E-03
DBED,Y,2,3.61E-03
DBED,Y,3,7.88E-04
DBED,Y,4,3.55E-04
DBED,Y,5,2.65E-07
DBED,Y,6,2.05E-03
DBED,Y,7,5.05E-03
DBED,Y,8,4.83E-03
DBED,Y,9,3.66E-06
DBED,Y,10,2.05E-03
DBED,Y,11,9.84E-04
MCED,X,1,1.92E-03
MCED,X,2,6.74E-03
MCED,X,3,1.95E-03
MCED,X,4,3.13E-03
MCED,X,5,2.24E-03
MCED,X,6,9.84E-03
MCED,X,7,5.14E-02
MCED,X,8,1.37E-03
MCED,X,9,9.57E-04
MCED,X,10,6.64E-05
MCED,X,11,7.18E-03
MCED,Y,1,2.62E-03
MCED,Y,2,2.69E-03
MCED,Y,3,3.62E-03
MCED,Y,4,8.76E-04
MCED,Y,5,8.88E-06
MCED,Y,6,1.25E-03
MCED,Y,7,7.61E-03
MCED,Y,8,1.00E-02
MCED,Y,9,2.36E-03
MCED,Y,10,1.08E-03
MCED,Y,11,7.78E-04
