Intensity Level,Direction,Ground Motion ID,story 1,story 2,story 3,story 4,story 5,story 6,story 7,story 8,story 9,story 10,story 11,story 12,story 13,story 14,story 15,story 16,story 17,story 18,story 19,story 20,story 21,story 22,story 23,story 24,story 25,story 26,story 27,story 28,story 29,story 30,story 31,story 32,story 33,story 34,story 35,story 36,story 37,story 38,story 39,story 40,story 41,story 42,story 43,story 44
DBEB,X,1,7.43E-05,0.000135122,0.000239497,0.000729152,0.0022319,0.00345947,0.00397659,0.00418742,0.00409962,0.00403834,0.00424444,0.00429636,0.00422617,0.00410935,0.00390647,0.00371216,0.00359486,0.00359068,0.00365107,0.00390069,0.00422253,0.00466017,0.00518443,0.00570148,0.00621936,0.00672338,0.00695965,0.00688831,0.00654588,0.00595394,0.00528365,0.00515565,0.00502344,0.00467076,0.00432033,0.00400114,0.00375213,0.00354828,0.00341892,0.00317155,0.00291531,0.00263577,0.00231838,0.00203234
DBEB,X,2,0.000114946,0.000221111,0.000243693,0.000610614,0.00173979,0.00245312,0.0026526,0.00274331,0.00283533,0.00290396,0.00299928,0.00315627,0.00335432,0.00363268,0.00387812,0.00412908,0.00433227,0.00446463,0.00455091,0.00475136,0.00486015,0.0047753,0.00455794,0.00457447,0.00475575,0.00478726,0.0044895,0.00400485,0.00362811,0.00358412,0.00378209,0.00409594,0.00431641,0.00435803,0.00429708,0.00420786,0.0039485,0.00383888,0.00392539,0.00379212,0.00355924,0.00329937,0.00290155,0.00246023
DBEB,X,3,0.000179814,0.000342566,0.000323858,0.000648298,0.00176844,0.00242303,0.00268276,0.00282107,0.00279479,0.00269003,0.00264782,0.00274281,0.00281832,0.00296468,0.00302326,0.00333321,0.0036405,0.00379373,0.00379659,0.00371069,0.00364552,0.00372912,0.00375549,0.00352134,0.00378189,0.0039963,0.00406682,0.0040166,0.00386003,0.00379063,0.0038297,0.00437936,0.0047081,0.00456422,0.00453545,0.00437078,0.00386223,0.00350789,0.00357137,0.0034758,0.00351529,0.00316102,0.00268812,0.00231557
DBEB,X,4,6.24E-05,0.000135397,0.000229964,0.000702526,0.0020901,0.00310954,0.00340304,0.00341152,0.00339353,0.0035403,0.00378204,0.00396364,0.00412582,0.00457125,0.00509538,0.00553459,0.00570184,0.0055816,0.00523227,0.00508679,0.00508369,0.00500923,0.00491693,0.00476647,0.00450747,0.0045535,0.00445827,0.00416991,0.0039253,0.00407122,0.0040988,0.00408263,0.00436038,0.00450425,0.0043182,0.00418049,0.00413168,0.00389468,0.00383707,0.00351099,0.00317833,0.00283563,0.00239698,0.00202634
DBEB,X,5,1.12E-04,0.000199789,0.000183268,0.000549085,0.00155632,0.00218102,0.0023442,0.00237332,0.00226301,0.00221199,0.00219205,0.00214475,0.00207808,0.00205395,0.00205778,0.00209273,0.00218034,0.00229385,0.00239518,0.00248164,0.0025358,0.00257466,0.00261477,0.00261299,0.0025847,0.00260519,0.00261773,0.00262142,0.00277281,0.00291473,0.002955,0.00316059,0.00331906,0.00343066,0.00350635,0.00346581,0.00333047,0.0031793,0.00308732,0.00286095,0.00257769,0.00227859,0.00194927,0.0016587
DBEB,X,6,4.49E-04,0.000880513,0.000699459,0.000961105,0.00227947,0.00316208,0.00347395,0.00362779,0.00360176,0.00362377,0.00384536,0.00407774,0.00426511,0.0044647,0.00464484,0.00493756,0.00517133,0.00531037,0.00548927,0.0057787,0.00590373,0.00596615,0.00603207,0.00599583,0.00583936,0.00560467,0.00540345,0.00558979,0.00608243,0.00615206,0.00566637,0.00548879,0.00541752,0.00605924,0.00566744,0.00489468,0.00533321,0.00535659,0.00456314,0.00375477,0.00339806,0.00341494,0.00356987,0.00310373
DBEB,X,7,5.65E-04,0.00106208,0.000894531,0.0011443,0.00244967,0.00347332,0.00398573,0.0043126,0.00453496,0.00480649,0.00515302,0.00542397,0.00555311,0.00561734,0.00560217,0.00566091,0.00569443,0.00561463,0.0053191,0.00489369,0.00462175,0.00452599,0.00425638,0.00430748,0.00406795,0.00419168,0.0041382,0.00377314,0.00398121,0.00519698,0.00534787,0.00562238,0.00552683,0.00501719,0.00460564,0.00366006,0.00377258,0.00378599,0.00512554,0.00621409,0.0054577,0.00491596,0.00401326,0.00289553
DBEB,X,8,3.63E-04,0.000632107,0.000434879,0.000631862,0.00182647,0.00260284,0.00288001,0.00304745,0.00313659,0.00323625,0.00333856,0.00335929,0.00332422,0.0032827,0.00314894,0.00296987,0.00280264,0.00265778,0.00267631,0.00273195,0.00278191,0.00279938,0.00306593,0.00324764,0.00325662,0.00332804,0.00345032,0.00354618,0.00331001,0.00322971,0.00348445,0.00401464,0.00444105,0.00477591,0.00480666,0.00457168,0.00428148,0.00441181,0.00581037,0.00484184,0.0030956,0.00308039,0.0026932,0.002345
DBEB,X,9,0.000218256,0.000411231,0.000336647,0.000598187,0.0017282,0.00247126,0.00274454,0.00287161,0.00284033,0.00296739,0.00309525,0.00313917,0.00313997,0.00314013,0.00309126,0.00302592,0.00315972,0.0032422,0.00330837,0.00339611,0.00349928,0.00364825,0.00383838,0.00395436,0.00400768,0.00407384,0.0041078,0.00415282,0.00428165,0.00457171,0.00478381,0.0048765,0.00457546,0.00409928,0.00387556,0.00398355,0.00394379,0.00367446,0.0034925,0.00334986,0.0030951,0.00277381,0.00239791,0.00207677
DBEB,X,10,0.00017434,0.000348015,0.000329743,0.00052377,0.00143434,0.00194912,0.00201558,0.00197833,0.00186244,0.00176635,0.00174318,0.0017106,0.00175327,0.00196535,0.00207652,0.00207694,0.00192934,0.00204868,0.00216148,0.00227127,0.00229563,0.00227406,0.00233889,0.00248468,0.00239846,0.00215877,0.00208189,0.00204363,0.00190377,0.00182548,0.00186108,0.00206826,0.00225336,0.00227105,0.00252662,0.00281463,0.00313914,0.00352842,0.00356003,0.00328858,0.00312699,0.00288709,0.00241641,0.00187666
