Intensity Level,Direction,Ground Motion ID,floor 1,floor 2,floor 3,floor 4,floor 5,floor 6,floor 7,floor 8,floor 9,floor 10,floor 11,floor 12,floor 13,floor 14,floor 15,floor 16,floor 17,floor 18,floor 19,floor 20,floor 21,floor 22,floor 23,floor 24,floor 25,floor 26,floor 27,floor 28,floor 29,floor 30,floor 31,floor 32,floor 33,floor 34,floor 35,floor 36,floor 37,floor 38,floor 39,floor 40,floor 41,floor 42,floor 43,floor 44,floor 45,floor 46,floor 47
DBEB,X,1,0,0,0,0,0.00142494,0.002011722,0.002365716,0.002609693,0.002752362,0.002821001,0.002850793,0.00288014,0.002945411,0.003011856,0.003095036,0.003181452,0.003398159,0.00346243,0.00345752,0.003396761,0.003295999,0.003293109,0.003361405,0.003417361,0.003455274,0.003499402,0.003502149,0.003472075,0.003413441,0.003331791,0.003230072,0.003116499,0.003000334,0.002893527,0.002982834,0.002964396,0.002891669,0.002761047,0.002571649,0.002385213,0.002157502,0.001861519,0.001496004,0.001067492,0.000584727,3.48E-14,0
DBEB,X,2,0,0,0,0,0.001442946,0.001993818,0.002328789,0.002601438,0.002809643,0.002934153,0.003002382,0.003017412,0.002989922,0.002933067,0.003005706,0.003176077,0.00355256,0.003736866,0.003818947,0.003851111,0.003894555,0.004028793,0.004122013,0.004192475,0.004259432,0.004310038,0.004257477,0.004154384,0.004017741,0.003868711,0.003696611,0.003589456,0.003590631,0.003585485,0.003620538,0.003555372,0.003437717,0.003226278,0.002964868,0.00270247,0.002433204,0.002148623,0.001790972,0.001322949,0.000742623,3.79E-14,0
DBEB,X,3,0,0,0,0,0.001558386,0.002197817,0.002574306,0.002811265,0.002938379,0.002988004,0.003015411,0.003042725,0.003042243,0.003028561,0.003038585,0.003032175,0.003224432,0.003274643,0.003285431,0.003294106,0.003313693,0.00329117,0.003241899,0.00318204,0.00312387,0.003207471,0.0032021,0.003265004,0.003317538,0.003395213,0.003464307,0.003519116,0.003559387,0.003591026,0.003700163,0.003635101,0.00349373,0.003303821,0.003039801,0.002742527,0.002399295,0.002053504,0.001669915,0.001205978,0.000670746,4.70E-14,0
DBEB,X,4,0,0,0,0,0.001238828,0.001742007,0.002016281,0.002184099,0.00233011,0.002407322,0.002439265,0.002445317,0.00244349,0.002436492,0.002451109,0.002462893,0.002606122,0.002641888,0.002627919,0.002593842,0.002581615,0.002569362,0.002518551,0.002434536,0.002405955,0.002410426,0.002410832,0.002413815,0.002411892,0.002406968,0.002401031,0.002402389,0.002447038,0.002499656,0.002661745,0.002693531,0.00267113,0.002590337,0.00245476,0.002349266,0.002219633,0.002013981,0.001696753,0.001260808,0.000700601,3.09E-14,0
DBEB,X,5,0,0,0,0,0.001238828,0.001742007,0.002016281,0.002184099,0.00233011,0.002407322,0.002439265,0.002445317,0.00244349,0.002436492,0.002451109,0.002462893,0.002606122,0.002641888,0.002627919,0.002593842,0.002581615,0.002569362,0.002518551,0.002434536,0.002405955,0.002410426,0.002410832,0.002413815,0.002411892,0.002406968,0.002401031,0.002402389,0.002447038,0.002499656,0.002661745,0.002693531,0.00267113,0.002590337,0.00245476,0.002349266,0.002219633,0.002013981,0.001696753,0.001260808,0.000700601,3.09E-14,0
DBEB,X,6,0,0,0,0,0.003870107,0.005139497,0.005804569,0.006450736,0.007280805,0.007772716,0.007965277,0.007971933,0.007854044,0.007983287,0.008120869,0.008119038,0.008093194,0.008375653,0.008869585,0.009157853,0.009228621,0.009080047,0.008924186,0.008856352,0.00866228,0.008280582,0.007763209,0.008161177,0.008445365,0.008511352,0.008648292,0.008790597,0.008787569,0.008608457,0.00843118,0.007887968,0.007501217,0.006852043,0.006786087,0.006570265,0.006380454,0.006029897,0.005604249,0.005128429,0.004459443,3.41E-14,0
DBEB,X,7,0,0,0,0,0.001933534,0.002666375,0.003060088,0.00329858,0.003439,0.003501805,0.003520006,0.003546351,0.003673705,0.003788557,0.003850234,0.003839742,0.003966729,0.003895489,0.003772045,0.003763571,0.003813482,0.003846955,0.003968183,0.004068417,0.004041732,0.004043047,0.003981488,0.00385476,0.003611475,0.003405735,0.00373539,0.004520727,0.004589894,0.004727799,0.004880161,0.004788795,0.004516514,0.004091787,0.003791868,0.003637542,0.003656886,0.003445815,0.003114838,0.00278847,0.002356028,2.76E-14,0
DBEB,X,8,0,0,0,0,0.002917479,0.004319152,0.005223377,0.0058054,0.006177224,0.006322056,0.006364295,0.006373646,0.006308579,0.006233301,0.006231663,0.00627394,0.006690095,0.007029808,0.007145572,0.007027325,0.006689018,0.006154121,0.005987681,0.006240327,0.00639674,0.006458193,0.006345942,0.006127072,0.005893331,0.00585279,0.00578764,0.005808237,0.005893361,0.005889425,0.006090597,0.006126798,0.006010148,0.005746532,0.005328225,0.004786249,0.004140474,0.003470204,0.002757334,0.001963841,0.001105532,3.64E-14,0
DBEB,X,9,0,0,0,0,0.002411366,0.003393207,0.004071214,0.004628117,0.005008064,0.005269801,0.005504395,0.005788689,0.005985024,0.00609409,0.006260259,0.006538947,0.007018387,0.007490794,0.007753094,0.007802604,0.007745623,0.007635924,0.007400972,0.007111149,0.006991786,0.00704909,0.006910387,0.006855757,0.006970084,0.007093734,0.007202999,0.007233665,0.007144125,0.00691283,0.006548082,0.006063553,0.005532699,0.004955026,0.004370998,0.00389898,0.003540261,0.003177726,0.002719057,0.002095942,0.00120451,3.84E-14,0
DBEB,X,10,0,0,0,0,0.002440187,0.003472139,0.004132058,0.004575733,0.004827228,0.00489492,0.004838662,0.004688486,0.004495821,0.004285277,0.004125022,0.004020319,0.004133978,0.004166693,0.004132745,0.004050066,0.003967278,0.003992583,0.004082026,0.00419832,0.004322414,0.004506048,0.004646312,0.004726686,0.004752483,0.0048068,0.00484017,0.004866003,0.004908766,0.00495127,0.005140416,0.005240289,0.005230206,0.005110433,0.004868068,0.004506174,0.00402501,0.003431303,0.002732182,0.001943105,0.001053743,3.40E-14,0
