Intensity Level,Direction,Ground Motion ID,story 1,story 2,story 3,story 4,story 5,story 6,story 7,story 8,story 9,story 10,story 11,story 12,story 13,story 14,story 15,story 16,story 17,story 18,story 19,story 20,story 21,story 22,story 23,story 24,story 25,story 26,story 27,story 28,story 29,story 30,story 31,story 32,story 33,story 34,story 35,story 36,story 37,story 38,story 39,story 40,story 41,story 42,story 43,story 44,story 45,story 46
DBEB,X,1,0.00013829,0.000849144,0.001107008,0.001425991,0.002676871,0.002288301,0.002569911,0.002826062,0.003035129,0.00321851,0.003377987,0.003519967,0.003646318,0.003763286,0.003869986,0.003982333,0.004166471,0.00431581,0.004448664,0.004637257,0.004818098,0.004993109,0.005163692,0.005327426,0.005479757,0.005633007,0.005780672,0.005917272,0.006038492,0.006145213,0.006238545,0.006317643,0.006385232,0.006443652,0.006497958,0.006538478,0.006559571,0.00656787,0.006563101,0.006554409,0.006549828,0.006535279,0.006518104,0.006490554,0.006464388,0.006414747
DBEB,X,2,0.000265333,0.000892621,0.001101944,0.001406782,0.002688903,0.002191187,0.00236967,0.002572204,0.002770894,0.002945953,0.00309413,0.003225268,0.003333941,0.003426528,0.003511429,0.003592685,0.003763727,0.003911678,0.004144976,0.004394608,0.00463563,0.004862995,0.005069592,0.005250634,0.005406988,0.005537797,0.005647674,0.005746628,0.005823255,0.005882084,0.005932564,0.006040006,0.006139334,0.006224972,0.006302178,0.006356758,0.006393734,0.006422124,0.006432563,0.006456422,0.006457416,0.006467969,0.006444273,0.006425219,0.00638519,0.006331246
DBEB,X,3,0.00020463,0.001001908,0.001362897,0.002101018,0.003958771,0.003597245,0.003774709,0.003996828,0.004184946,0.004631283,0.004840086,0.005042128,0.005243853,0.00543945,0.005626574,0.005793734,0.005999516,0.006246125,0.006432898,0.006629255,0.006865227,0.007089416,0.007299818,0.007493393,0.007680043,0.007862611,0.008030217,0.008189069,0.008335861,0.008475445,0.008596469,0.008704906,0.008805404,0.008889872,0.008975117,0.009039976,0.009095636,0.009142601,0.009165361,0.009191909,0.009204402,0.009187876,0.009166695,0.009121198,0.009087161,0.009010766
DBEB,X,4,0.000199,0.000789196,0.001006826,0.001303866,0.002490007,0.002015013,0.002168763,0.002349195,0.002507337,0.002661671,0.002805352,0.002940405,0.003065663,0.003183736,0.003290792,0.00339452,0.003614881,0.003826686,0.004019704,0.004196984,0.00436129,0.004513254,0.004654997,0.004786044,0.004906858,0.005020481,0.005139746,0.005251015,0.005352281,0.005444115,0.005524645,0.005599086,0.005665413,0.005725187,0.005783512,0.005830774,0.005865891,0.005896938,0.005912735,0.005935001,0.005922946,0.005935962,0.005908778,0.005910224,0.005880379,0.005868045
DBEB,X,5,0.000950562,0.001858241,0.002532696,0.003020564,0.005283302,0.004045477,0.004100483,0.004271799,0.004485228,0.004705472,0.004893742,0.005039376,0.005446327,0.005666286,0.005778796,0.005828845,0.006013025,0.006211919,0.006321142,0.006368618,0.006368305,0.006321508,0.006321836,0.006482171,0.006627547,0.006789335,0.006920554,0.007069593,0.007253285,0.007527145,0.007840497,0.008135632,0.008319864,0.008416954,0.008464042,0.008462754,0.008398222,0.008279615,0.008025585,0.008324389,0.008704533,0.008885414,0.008923704,0.00890215,0.008825499,0.008727572
DBEB,X,6,0.000923015,0.002042001,0.002448627,0.003096329,0.004868669,0.004041781,0.004314305,0.004624679,0.004914619,0.005162309,0.005305121,0.00537771,0.005388078,0.005334816,0.005305802,0.005387764,0.005768328,0.006216755,0.006525608,0.006769355,0.006930232,0.006994314,0.00705002,0.007108693,0.007136526,0.007217372,0.007310957,0.007390072,0.007478837,0.007565931,0.007783682,0.008040958,0.008299791,0.008546728,0.008757795,0.008974725,0.009436611,0.009739236,0.009867231,0.009939316,0.010027855,0.010091844,0.01010128,0.010096079,0.010017123,0.009905246
DBEB,X,7,0.000478099,0.001410797,0.001542096,0.002114843,0.003177162,0.002448236,0.002615238,0.002859642,0.003068295,0.003251191,0.003400445,0.003514674,0.003586259,0.003612587,0.003592283,0.003538294,0.003705902,0.003842293,0.00399299,0.004141263,0.004282734,0.004448473,0.004623907,0.004794766,0.00495976,0.005124118,0.005285199,0.005449436,0.005595912,0.005727922,0.005849581,0.005951354,0.006048138,0.006131051,0.006205188,0.006272324,0.006315594,0.006338605,0.006340476,0.006341241,0.006345576,0.006334825,0.006315409,0.006290512,0.00626256,0.006210839
DBEB,X,8,0.000596369,0.001429037,0.001749729,0.002089694,0.004306593,0.003880427,0.00419819,0.004475093,0.004656606,0.004786836,0.004869745,0.0049732,0.005081365,0.005159288,0.005204516,0.005234838,0.005329718,0.005459095,0.005559621,0.005684545,0.005819305,0.005937013,0.006025306,0.006164792,0.006307535,0.006436477,0.006541327,0.006647173,0.006805031,0.007021399,0.007217236,0.007415703,0.007615416,0.007799823,0.007974695,0.008115839,0.008212785,0.008272561,0.00828557,0.008267175,0.008237124,0.008167468,0.008100814,0.008003974,0.007899628,0.007735719
DBEB,X,9,0.000417396,0.001372886,0.002105754,0.002731133,0.004388996,0.003721485,0.004001963,0.004319211,0.004567044,0.004780644,0.004947906,0.005147441,0.005332613,0.005491921,0.005623877,0.005748132,0.005938662,0.006054559,0.006167357,0.006310318,0.006526195,0.006727748,0.006902325,0.007047673,0.007205715,0.007384433,0.007616354,0.007858331,0.00808418,0.008288031,0.008461431,0.008606912,0.008715648,0.008789243,0.008841271,0.008866446,0.008858269,0.008820944,0.00876916,0.008718137,0.008682993,0.008663821,0.008628951,0.008582234,0.008505041,0.00840157
DBEB,X,10,0.000222773,0.00100694,0.001234141,0.001635723,0.003396876,0.003120826,0.003300507,0.003500623,0.003661903,0.003868228,0.004002058,0.004124791,0.004237032,0.004338056,0.004430482,0.004518468,0.004754131,0.004960437,0.005155611,0.005320402,0.005475728,0.005620286,0.005766757,0.005934833,0.006089236,0.006250494,0.006421343,0.00657577,0.006721066,0.006856725,0.006981894,0.007096478,0.00719644,0.007282038,0.007355751,0.00741158,0.007448517,0.007475281,0.007493064,0.007496842,0.007462666,0.007460799,0.007415164,0.007404046,0.007355712,0.007318344
