Intensity Level,Direction,Ground Motion ID,story 1,story 2,story 3,story 4,story 5,story 6,story 7,story 8,story 9,story 10,story 11,story 12,story 13,story 14,story 15,story 16,story 17,story 18,story 19,story 20,story 21,story 22,story 23,story 24,story 25,story 26,story 27,story 28,story 29,story 30,story 31,story 32,story 33,story 34,story 35,story 36,story 37,story 38,story 39,story 40,story 41,story 42,story 43,story 44,story 45,story 46
DBEB,X,1,0.00015207,0.000341542,0.000505783,0.000688529,0.001417768,0.00142339,0.001598997,0.001762116,0.001893529,0.002011336,0.002115099,0.0022088,0.002294262,0.002375355,0.002452356,0.002535883,0.002667774,0.002768759,0.002855194,0.002934316,0.003010233,0.003088228,0.003168848,0.003245881,0.003312064,0.003381176,0.003432281,0.003472432,0.003501571,0.003519013,0.003526177,0.00352375,0.003513703,0.003498508,0.003489266,0.003477633,0.003461435,0.003447805,0.003422632,0.003389526,0.003348199,0.003299552,0.003244612,0.003184971,0.003122934,0.003050137
DBEB,X,2,0.000265333,0.000391113,0.000500938,0.000697122,0.001346683,0.001277239,0.001433903,0.001577619,0.001709678,0.001837857,0.001949208,0.002047601,0.002139525,0.002237286,0.002341473,0.002455445,0.002626367,0.002756439,0.00285034,0.002913137,0.002950023,0.002962309,0.002979162,0.003078195,0.003152643,0.003215445,0.00324974,0.003265294,0.003269825,0.003315746,0.003377925,0.003423897,0.003455598,0.003473765,0.003488622,0.003492024,0.003483463,0.003478895,0.003471846,0.003460392,0.00343967,0.00340636,0.003358551,0.003295988,0.003222618,0.003134785
DBEB,X,3,0.00021777,0.000403944,0.000642521,0.001240455,0.002078597,0.0019615,0.002094213,0.002235336,0.002369987,0.0024768,0.00259915,0.002711795,0.002819896,0.002941614,0.003062002,0.003187615,0.003375497,0.003532012,0.003678789,0.003813439,0.003936735,0.004047279,0.004147656,0.004238261,0.004317885,0.004399455,0.004463557,0.004520508,0.004567777,0.004605945,0.004638373,0.004664857,0.004687563,0.004706955,0.00472768,0.004738688,0.004736097,0.004725718,0.004701863,0.004672583,0.00463388,0.004584544,0.004525099,0.004455064,0.004382717,0.004306358
DBEB,X,4,0.00020291,0.000370305,0.00051893,0.000658791,0.001112889,0.001102457,0.001189201,0.001261057,0.00130249,0.001327734,0.001336804,0.001334858,0.001387941,0.001445561,0.00150252,0.001565961,0.001656591,0.001734285,0.001805485,0.001870875,0.001931722,0.001986746,0.002035961,0.002079963,0.002116212,0.002156369,0.002184194,0.002210735,0.002234064,0.002254099,0.002271602,0.002285845,0.002296842,0.00230462,0.002313031,0.002316906,0.002313031,0.002326594,0.002369379,0.002399097,0.00241211,0.002406869,0.002383159,0.002340823,0.002281981,0.002194765
DBEB,X,5,0.001288934,0.001166458,0.001211505,0.001730904,0.003169979,0.002427616,0.002566771,0.00271696,0.002836085,0.002953247,0.003062647,0.003128039,0.003168836,0.003219318,0.003221919,0.003229691,0.003382452,0.003511943,0.003582487,0.003607105,0.003596721,0.003561152,0.003510017,0.00361824,0.003668573,0.003697093,0.003677024,0.003670508,0.003737898,0.003769559,0.003768954,0.003855686,0.004055051,0.00416771,0.004215623,0.004164451,0.004038251,0.003939156,0.004128297,0.004230427,0.004308254,0.004360542,0.00434839,0.004293215,0.004198201,0.003955369
DBEB,X,6,0.000923015,0.00118132,0.001460591,0.001839174,0.003341662,0.002918292,0.003204442,0.003524571,0.003785124,0.003973493,0.004102955,0.004170956,0.004184533,0.004161878,0.004130161,0.004119809,0.004214332,0.004610028,0.004891136,0.00510314,0.005226806,0.005282468,0.005250754,0.00517111,0.005050045,0.004973693,0.004978838,0.00517223,0.005303029,0.005411276,0.00551553,0.005574423,0.005576357,0.005555024,0.005519371,0.005398998,0.005537496,0.005800941,0.005881207,0.00590317,0.005914367,0.005879209,0.005809524,0.005725156,0.005617249,0.005401833
DBEB,X,7,0.000478099,0.000801001,0.000963078,0.001295995,0.001436795,0.001320615,0.001474687,0.001626816,0.001749975,0.001859867,0.001950502,0.002024293,0.002082719,0.002129175,0.002166066,0.00220523,0.002340203,0.002457871,0.002562089,0.002660817,0.002758236,0.002857933,0.002958774,0.003056358,0.003145214,0.003237608,0.003313354,0.003379843,0.003433316,0.003475468,0.003507103,0.003529893,0.003546252,0.003557258,0.003568415,0.003571512,0.003560507,0.003544942,0.003519771,0.003491142,0.003458236,0.003420615,0.00337861,0.003332541,0.003283474,0.003212359
DBEB,X,8,0.000596369,0.000861075,0.001083228,0.001352314,0.002335895,0.002221734,0.002422423,0.002627154,0.002777821,0.002885283,0.002940967,0.002985622,0.003010871,0.003046487,0.003102795,0.003199253,0.003403169,0.003543015,0.003629097,0.003657595,0.00363039,0.003549443,0.003574741,0.003665349,0.003722979,0.003757914,0.003802593,0.003842079,0.003903629,0.004024585,0.004120475,0.004200044,0.004310113,0.004463569,0.004601422,0.004705019,0.004763928,0.004789797,0.004775006,0.004733403,0.004675966,0.004608471,0.004530971,0.004438841,0.004326715,0.004181262
DBEB,X,9,0.000417396,0.000798341,0.001264065,0.001645174,0.00291462,0.002562224,0.002824412,0.003092103,0.003307991,0.003491846,0.003635595,0.003744971,0.0038285,0.003907495,0.004021382,0.004132096,0.004304952,0.004407573,0.004487824,0.004590776,0.004715699,0.004830587,0.004920276,0.004984031,0.005012168,0.00502742,0.0050028,0.005035145,0.005141981,0.005230002,0.00529899,0.005342644,0.005354659,0.005338484,0.005306396,0.005247828,0.005175963,0.005111855,0.005070835,0.005059361,0.00505047,0.005031191,0.004989614,0.004922448,0.004836846,0.00472071
DBEB,X,10,0.000222773,0.000391739,0.000595122,0.000895026,0.001702627,0.001694777,0.001879955,0.002037236,0.002172552,0.00228777,0.002399771,0.002494275,0.002574552,0.002642535,0.002698196,0.002761634,0.002874294,0.002944876,0.002991464,0.003025785,0.003048416,0.003063954,0.003183079,0.003289884,0.003377942,0.003464703,0.003531352,0.003606462,0.003691264,0.003773462,0.003844709,0.003903576,0.003948241,0.003976083,0.00399423,0.003994206,0.003970268,0.003940446,0.003935716,0.003934598,0.003929539,0.003907412,0.003865424,0.003805118,0.003729525,0.00362625
