Intensity Level,Direction,Ground Motion ID,story 1,story 2,story 3,story 4,story 5,story 6,story 7,story 8,story 9,story 10,story 11,story 12,story 13,story 14,story 15,story 16,story 17,story 18,story 19,story 20,story 21,story 22,story 23,story 24,story 25,story 26,story 27,story 28,story 29,story 30,story 31,story 32,story 33,story 34,story 35,story 36,story 37,story 38,story 39,story 40,story 41,story 42,story 43,story 44,story 45,story 46
DBEB,X,1,0.00015207,0.000107758,0.000110332,0.000124521,0.000361178,0.000444259,0.000472012,0.000501109,0.00050869,0.000509478,0.000504762,0.00049679,0.000495866,0.000498688,0.000499447,0.00050742,0.000565625,0.000570796,0.000564328,0.0005491,0.000528949,0.000536471,0.000541658,0.000544371,0.000541753,0.000548267,0.000543168,0.000535877,0.000523016,0.000505998,0.000485677,0.000462353,0.000437745,0.00041563,0.000420261,0.000417872,0.000405346,0.000387569,0.000358887,0.000326002,0.000328109,0.000300968,0.000261627,0.000209927,0.000147691,7.48E-05
DBEB,X,2,0.00022669,0.000208614,0.000190173,0.000264045,0.000339912,0.00043538,0.000469991,0.00050655,0.000530285,0.00055267,0.000562666,0.000561912,0.000552565,0.000536313,0.000527441,0.000558703,0.000653753,0.000688072,0.000702018,0.000698273,0.000679811,0.000678408,0.000674292,0.000655945,0.000649985,0.000662795,0.000654302,0.000643926,0.000625401,0.00059699,0.000556535,0.000555246,0.000579678,0.000604155,0.000623473,0.000622811,0.000599481,0.00056149,0.000508942,0.000456053,0.000419023,0.000386416,0.00034382,0.000282124,0.000204045,0.000106321
DBEB,X,3,0.00021777,0.000166556,0.000168858,0.00039774,0.00044626,0.000501166,0.000502199,0.00052536,0.000534938,0.000531498,0.000523053,0.00051798,0.000519484,0.000519086,0.000517843,0.000524384,0.000584003,0.000592056,0.000590018,0.000587063,0.000580056,0.000571194,0.000571871,0.000580686,0.00058419,0.00059686,0.000600798,0.000607218,0.000607721,0.00060865,0.000609909,0.000607022,0.000600996,0.000592145,0.000587803,0.000578982,0.000555134,0.00052537,0.000492914,0.000450642,0.000405261,0.000354922,0.000295391,0.000229071,0.000158335,8.60E-05
DBEB,X,4,0.00020291,0.00018957,0.000181549,0.000186115,0.000334916,0.0003711,0.000392295,0.000415208,0.000423682,0.000429877,0.000430006,0.000421614,0.000411865,0.000402159,0.000392861,0.000385787,0.000420832,0.00045815,0.000485083,0.000502117,0.000508212,0.000502537,0.000485612,0.000459387,0.000435736,0.000451699,0.000449381,0.000438249,0.000417417,0.000407551,0.000407272,0.000408472,0.000409096,0.000409073,0.00041389,0.000412903,0.000400993,0.000383671,0.00039301,0.000411616,0.000410443,0.000388684,0.000346091,0.000282679,0.000201763,0.000104392
DBEB,X,5,0.001288934,0.000608,0.000500516,0.000746009,0.00100674,0.001153212,0.001173383,0.001215219,0.001244648,0.001260245,0.001283918,0.001280818,0.001238994,0.001245247,0.001172343,0.001150099,0.001198436,0.001138986,0.001125468,0.00113516,0.001218435,0.001274329,0.001334614,0.001417042,0.001501688,0.001546635,0.001516377,0.001439278,0.001303729,0.001323974,0.001305935,0.001250046,0.001292191,0.001339143,0.001346985,0.001295482,0.001356105,0.001348559,0.001270086,0.00134084,0.001154792,0.000964676,0.0009182,0.0008242,0.000708564,0.000537503
DBEB,X,6,0.000811793,0.000614027,0.000550782,0.000439179,0.000869264,0.001038004,0.001065373,0.001197412,0.001297925,0.001329829,0.001338883,0.001322286,0.001273652,0.001203233,0.00121416,0.001243011,0.001341196,0.001365289,0.001438037,0.001479314,0.001473003,0.001423287,0.001349857,0.001407423,0.001413733,0.001392717,0.001283702,0.00120481,0.001245189,0.001253894,0.001271672,0.001322788,0.001368356,0.001370774,0.00141984,0.001487714,0.001538988,0.001353348,0.001133304,0.00103297,0.00100354,0.000976055,0.00094314,0.000896253,0.000782442,0.00050168
DBEB,X,7,0.000464173,0.000405535,0.000367103,0.00031463,0.000405016,0.000528966,0.000557879,0.000581607,0.000581939,0.000591747,0.000608228,0.000622596,0.000648473,0.000670899,0.000694367,0.000704366,0.000777666,0.000755534,0.000731863,0.000710331,0.000715457,0.000706619,0.000726266,0.00076219,0.000765067,0.000740843,0.000728529,0.000570162,0.000544869,0.000602215,0.000696882,0.000688865,0.00073343,0.000761287,0.000768267,0.000742089,0.000679766,0.000676037,0.000684026,0.000677725,0.00065246,0.000624594,0.000582794,0.000550138,0.000464655,0.000283786
DBEB,X,8,0.000504379,0.000463116,0.000403682,0.000305993,0.000614222,0.000863271,0.000959179,0.001053384,0.001100367,0.001128922,0.001127603,0.00110414,0.001068004,0.001039417,0.001029559,0.001051347,0.001182672,0.001237552,0.001259736,0.001246143,0.001195757,0.001111572,0.000999067,0.001037132,0.001079482,0.001118072,0.001120777,0.001092715,0.001036898,0.000991315,0.000982093,0.000963898,0.000933576,0.000909685,0.000916704,0.000928739,0.000909848,0.00087117,0.000810131,0.000735967,0.000649475,0.000569563,0.000478125,0.000381703,0.000292864,0.000152961
DBEB,X,9,0.000406471,0.000293444,0.000306581,0.000283812,0.0005485,0.000729772,0.000794159,0.000885473,0.000927949,0.000971615,0.000998793,0.001014027,0.001018078,0.00100746,0.000995221,0.001053579,0.001226733,0.001311106,0.001361438,0.001377093,0.001358218,0.001300804,0.001212905,0.001108033,0.001158477,0.00120633,0.001217548,0.001210409,0.001187145,0.001171427,0.001173574,0.001184356,0.001186209,0.001168446,0.001128258,0.0010598,0.000965061,0.00085583,0.000737631,0.000652791,0.000611688,0.000584034,0.000534887,0.000452082,0.000333614,0.000163901
DBEB,X,10,0.000199774,0.000195308,0.000197069,0.000411674,0.000481365,0.000679482,0.000736956,0.000792037,0.000835674,0.000852194,0.000843011,0.000819857,0.000790495,0.000757175,0.000720733,0.000690525,0.000718224,0.00071497,0.000696831,0.000667981,0.000669839,0.00067998,0.000687702,0.000693391,0.000700733,0.000758077,0.000798975,0.000824482,0.00084612,0.000857913,0.000858885,0.00084893,0.000843408,0.000847825,0.000874858,0.000890536,0.000886708,0.00087296,0.000837159,0.000783923,0.000712507,0.000622841,0.000516973,0.00039546,0.000263454,0.000104799
