
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2018-07-27


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 286,1511,1521,1541,3750,3947,3964,4852,4882,6928,8166
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD100
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD100, 286, -, 1.0, -, 16.8, 27.0, 0.2, "Irpinia_ Italy-01", 1980, "Bisaccia", 6.9, Normal, 17.51, 21.26, 496.46, 0.15, 1.0, RSN286_ITALY_A-BIS000.AT2, RSN286_ITALY_A-BIS270.AT2 , RSN286_ITALY_A-BIS-UP.AT2  
2, RotD100, 1511, -, 1.0, 4.732, 17.5, 29.5, 3.7, "Chi-Chi_ Taiwan", 1999, "TCU076", 7.62, Reverse Oblique, 2.74, 2.74, 614.98, 0.125, 1.0, RSN1511_CHICHI_TCU076-E.AT2, RSN1511_CHICHI_TCU076-N.AT2 , RSN1511_CHICHI_TCU076-V.AT2  
3, RotD100, 1521, -, 1.0, -, 21.8, 24.9, 3.0, "Chi-Chi_ Taiwan", 1999, "TCU089", 7.62, Reverse Oblique, 0.0, 9.0, 671.52, 0.0875, 1.0, RSN1521_CHICHI_TCU089-E.AT2, RSN1521_CHICHI_TCU089-N.AT2 , RSN1521_CHICHI_TCU089-V.AT2  
4, RotD100, 1541, -, 1.0, -, 17.8, 33.3, 1.6, "Chi-Chi_ Taiwan", 1999, "TCU116", 7.62, Reverse Oblique, 12.38, 12.38, 493.09, 0.0375, 1.0, RSN1541_CHICHI_TCU116-E.AT2, RSN1541_CHICHI_TCU116-N.AT2 , RSN1541_CHICHI_TCU116-V.AT2  
5, RotD100, 3750, -, 1.0, -, 8.0, 15.3, 0.9, "Cape Mendocino", 1992, "Loleta Fire Station", 7.01, Reverse, 23.46, 25.91, 515.65, 0.0625, 1.0, RSN3750_CAPEMEND_LFS270.AT2, RSN3750_CAPEMEND_LFS360.AT2 , RSN3750_CAPEMEND_LFS-UP.AT2  
6, RotD100, 3947, -, 1.0, -, 6.3, 31.6, 5.4, "Tottori_ Japan", 2000, "SMNH01", 6.61, strike slip, 5.83, 5.86, 446.34, 0.0625, 1.0, RSN3947_TOTTORI_SMNH01NS.AT2, RSN3947_TOTTORI_SMNH01EW.AT2 , RSN3947_TOTTORI_SMNH01UD.AT2  
7, RotD100, 3964, -, 1.0, -, 4.9, 12.7, 5.2, "Tottori_ Japan", 2000, "TTR007", 6.61, strike slip, 11.28, 11.29, 469.79, 0.075, 1.0, RSN3964_TOTTORI_TTR007NS.AT2, RSN3964_TOTTORI_TTR007EW.AT2 , RSN3964_TOTTORI_TTR007UD.AT2  
8, RotD100, 4852, -, 1.0, -, 4.9, 14.7, 0.4, "Chuetsu-oki_ Japan", 2007, "Joetsu_ Aramaki District", 6.8, Reverse, 30.26, 32.54, 605.71, 0.0875, 1.0, RSN4852_CHUETSU_65018NS.AT2, RSN4852_CHUETSU_65018EW.AT2 , RSN4852_CHUETSU_65018UD.AT2  
9, RotD100, 4882, -, 1.0, -, 7.4, 22.7, 1.8, "Chuetsu-oki_ Japan", 2007, "Ojiya City", 6.8, Reverse, 15.89, 23.44, 430.16, 0.1, 1.0, RSN4882_CHUETSU_65321NS.AT2, RSN4882_CHUETSU_65321EW.AT2 , RSN4882_CHUETSU_65321UD.AT2  
10, RotD100, 6928, -, 1.0, 10.633, 7.6, 12.9, 0.7, "Darfield_ New Zealand", 2010, "LPCC", 7.0, strike slip, 25.21, 25.67, 649.67, 0.125, 1.0, RSN6928_DARFIELD_LPCCN80E.AT2, RSN6928_DARFIELD_LPCCS10E.AT2 , RSN6928_DARFIELD_LPCCUP.AT2  
11, RotD100, 8166, -, 1.0, -, -, -, -, "Duzce_ Turkey", 1999, "IRIGM 498", 7.14, strike slip, 3.58, 3.58, 425.0, 0.1, 1.0, RSN8166_DUZCE_498-NS.AT2, RSN8166_DUZCE_498-EW.AT2 , RSN8166_DUZCE_498-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-286 RotD100 pSa (g),RSN-1511 RotD100 pSa (g),RSN-1521 RotD100 pSa (g),RSN-1541 RotD100 pSa (g),RSN-3750 RotD100 pSa (g),RSN-3947 RotD100 pSa (g),RSN-3964 RotD100 pSa (g),RSN-4852 RotD100 pSa (g),RSN-4882 RotD100 pSa (g),RSN-6928 RotD100 pSa (g),RSN-8166 RotD100 pSa (g)
0.01,0.4145945,0.71854674,0.23921701,0.1063496,0.4303343,0.3717079,0.1902061,0.2777546,0.8642995,0.8392124,0.263531,0.408681,0.4002795,0.4081836
0.02,0.41904325,0.72322127,0.24279878,0.1066372,0.4377989,0.3740771,0.1903011,0.2795323,0.8758481,0.8297644,0.2602872,0.4024876,0.4093299,0.4434119
0.022,0.42228639,0.72707425,0.2452649,0.1063364,0.4521659,0.3770374,0.1917353,0.2805343,0.8796527,0.8306863,0.2610208,0.4040191,0.4132627,0.4486994
0.025,0.4272784,0.73612522,0.24801056,0.107435,0.4614819,0.3783166,0.190728,0.2842088,0.8872984,0.8424143,0.2648645,0.4087682,0.414224,0.4603227
0.029,0.42750432,0.74662046,0.24478293,0.1072221,0.4710521,0.377683,0.1908217,0.281825,0.9047645,0.8580977,0.2626494,0.4101158,0.4151193,0.4231969
0.03,0.43030278,0.75228579,0.24613051,0.1070679,0.4835636,0.3764539,0.1903418,0.2801549,0.9087775,0.8640766,0.2645184,0.4084417,0.416545,0.4333893
0.032,0.44060482,0.76639455,0.25330635,0.1071593,0.5370603,0.3794097,0.192133,0.2803685,0.908407,0.8786169,0.2677939,0.4031008,0.4281046,0.464499
0.035,0.45619088,0.7980232,0.26078204,0.1062852,0.6126146,0.3740203,0.1939472,0.2779212,0.9259821,0.9058338,0.2714393,0.3986652,0.4580527,0.4933381
0.036,0.45795802,0.80439364,0.26072502,0.1066066,0.5956028,0.3832605,0.1932651,0.2829796,0.9367267,0.9206825,0.2693979,0.4048728,0.4466554,0.4974883
0.04,0.49095286,0.87921882,0.27414644,0.1075189,0.6040798,0.3973757,0.1909805,0.2891781,0.977743,1.046485,0.2790895,0.4305035,0.5053043,0.5722232
0.042,0.49612151,0.88137664,0.27926376,0.1076287,0.6397215,0.3967352,0.1915032,0.2910053,0.9807265,1.028067,0.2838367,0.4330333,0.5045117,0.6005675
0.044,0.49969904,0.88402831,0.28245603,0.1080269,0.6307865,0.3949804,0.1918758,0.2972323,1.024026,0.9928613,0.2960193,0.4362134,0.5117458,0.6129217
0.045,0.51373266,0.92024341,0.28679504,0.1084162,0.6290078,0.3925112,0.1949678,0.3003699,1.066643,1.032754,0.3015215,0.4362633,0.5310025,0.6576021
0.046,0.52730027,0.95638981,0.29072411,0.1088564,0.6598524,0.3895679,0.1984,0.3000841,1.101568,1.081268,0.3029402,0.4364193,0.5681008,0.6532459
0.048,0.53155918,0.97681391,0.28926202,0.1094101,0.633217,0.3854264,0.2021101,0.2959962,1.162888,1.072614,0.2955248,0.4320449,0.6072207,0.6506988
0.05,0.52790429,0.98041379,0.28425033,0.1100429,0.637206,0.3879645,0.2006871,0.3044867,1.2038,1.050972,0.280862,0.4297414,0.5975117,0.6036729
0.055,0.53164176,0.99306977,0.28461542,0.107444,0.6680101,0.4220247,0.20133,0.3050924,1.069721,1.227294,0.2905718,0.4392478,0.5838177,0.5335059
0.06,0.57648879,1.16583834,0.28506467,0.1091775,0.6260948,0.4231867,0.2064016,0.3165896,1.170641,1.530052,0.2797712,0.472722,0.6322336,0.5745067
0.065,0.58157819,1.17384559,0.28814113,0.1129199,0.572671,0.3898751,0.2035691,0.3135706,1.220718,1.507192,0.2915065,0.517028,0.6829625,0.5853474
0.067,0.60090825,1.22183843,0.29553067,0.1142376,0.6672041,0.4065529,0.1974659,0.3149166,1.307466,1.538626,0.3017125,0.5406433,0.6604395,0.5607264
0.07,0.64220715,1.31855418,0.31278959,0.1147476,0.7092472,0.4244008,0.1998546,0.3463815,1.322809,1.713017,0.3059364,0.5554689,0.6943041,0.6781115
0.075,0.63720881,1.24606873,0.32585286,0.1155735,0.6195997,0.4777732,0.2049528,0.3767885,1.31025,1.568347,0.3092295,0.5607497,0.7809059,0.6851271
0.08,0.66664535,1.3059971,0.34028867,0.1144178,0.619662,0.5246804,0.2110754,0.3924905,1.480995,1.55084,0.3569729,0.505788,0.8349696,0.7412072
0.085,0.69887938,1.36781455,0.35708963,0.1166525,0.6310431,0.5560316,0.2389862,0.4138434,1.535658,1.675357,0.405679,0.5839515,0.8107793,0.7196916
0.09,0.71120145,1.45871179,0.34674944,0.1159067,0.6060658,0.5561211,0.2609452,0.4673911,1.539829,1.891028,0.3806049,0.5723172,0.7947061,0.6383008
0.095,0.72371665,1.37451754,0.38105428,0.1136563,0.7129112,0.644219,0.2807798,0.5533998,1.407068,1.816498,0.4342824,0.5857533,0.739851,0.6724644
0.1,0.77906216,1.42697724,0.42533114,0.1111125,0.7308035,0.7095238,0.293886,0.6835532,1.515856,1.842981,0.5377383,0.6849753,0.7507735,0.7084807
0.11,0.86044817,1.58351454,0.46754926,0.109117,0.6397931,0.6767576,0.2795574,0.7454136,1.614635,2.020664,0.5678324,0.8525066,1.020899,0.9377542
0.12,1.02094329,2.03226849,0.51288755,0.1275987,0.6400445,0.7466065,0.3134599,0.7168235,2.162532,2.595451,0.8353999,0.9875182,1.088652,1.01629
0.13,1.06115602,2.00767367,0.56087407,0.179537,0.7821228,0.7286854,0.3122636,0.695599,2.165771,2.519637,0.9411624,1.138268,1.058904,1.150766
0.133,1.02061444,1.84418196,0.56483246,0.1799781,0.7601668,0.7433951,0.3140466,0.7215881,2.103194,2.171317,0.8550221,1.190772,1.032254,1.155025
0.14,0.96344904,1.69754208,0.54681063,0.1616794,0.7044219,0.8148901,0.4018669,0.7609466,2.063389,1.748739,0.6275092,1.419146,0.8064333,1.088918
0.15,0.99118412,1.77988467,0.55197169,0.1745288,0.853765,0.8350515,0.4105744,0.657779,2.324679,1.611568,0.6236581,1.479126,0.9047375,1.027558
0.16,1.02300361,1.84040142,0.56864572,0.1720972,0.9516724,0.8764025,0.4098157,0.6010354,2.322157,1.882565,0.6300175,1.300841,1.002639,1.103797
0.17,1.15441505,2.17404448,0.61299303,0.1542647,1.08746,0.9462883,0.3865907,0.6924626,2.71407,2.308278,0.6865393,1.345509,1.211457,1.165646
0.18,1.17688522,2.1911186,0.63212407,0.154622,1.04359,0.902153,0.4221531,0.8196601,2.711838,2.400678,0.7999722,1.379981,1.077248,1.233842
0.19,1.26885734,2.44313363,0.65898931,0.1696801,0.9388431,0.862251,0.458897,0.921887,2.754894,2.977053,0.9095125,1.487036,1.10047,1.376907
0.2,1.23932317,2.20261585,0.6973172,0.2071736,1.086151,1.016226,0.4576715,0.9351503,2.702745,2.431303,0.9190885,1.487412,1.108303,1.281331
0.22,1.07478273,1.79766171,0.64258915,0.2393948,0.9610889,1.113763,0.538388,0.9105858,2.393437,1.680702,0.6943088,1.182429,0.8649097,1.243603
0.24,1.03875422,1.90141962,0.56747617,0.2374353,1.01147,1.17285,0.4554759,0.773753,2.632668,1.637373,0.5681745,1.237978,0.7164516,0.9826671
0.25,1.00740235,1.94125657,0.52278484,0.2240356,0.9334365,1.040721,0.4254661,0.6387294,2.723027,1.658414,0.5325994,1.054272,0.7013509,1.149374
0.26,1.03066392,2.08152487,0.51033169,0.1811475,0.9267328,1.04292,0.4324301,0.6394144,2.896528,1.795545,0.5199839,1.048948,0.6265354,1.227118
0.28,1.02281575,1.97201741,0.53049838,0.2150193,1.121863,1.042615,0.5292388,0.6773424,2.613354,1.974352,0.5381023,0.8074634,0.575882,1.155741
0.29,0.99942606,1.82625582,0.54694005,0.2563467,1.222831,1.011954,0.559504,0.7306215,2.302783,1.960745,0.5314212,0.7308756,0.5585007,1.128104
0.3,0.99648073,1.73859444,0.57113598,0.2894197,1.282375,1.032924,0.6167592,0.8027835,2.186105,1.851256,0.528025,0.7621711,0.5542475,1.055222
0.32,0.95413847,1.55268163,0.58632768,0.3227162,1.143029,1.171617,0.6080225,0.8708799,1.87015,1.607311,0.5281907,0.6773522,0.5166597,1.179595
0.34,0.9963935,1.67934178,0.59118401,0.312854,1.174232,1.255685,0.4396573,0.8947237,2.043663,1.500659,0.5602936,0.7198084,0.5448035,1.513949
0.35,1.01054871,1.73056717,0.59010058,0.2708636,1.132745,1.213371,0.4171047,0.9059629,2.088435,1.617268,0.5695458,0.7947986,0.5480052,1.557936
0.36,0.99874724,1.745592,0.57143711,0.2217822,1.062822,1.161484,0.4554733,0.8687368,2.102813,1.727908,0.5497984,0.7912107,0.5332112,1.51098
0.38,0.93087982,1.69997968,0.50973388,0.201719,0.9767791,1.042381,0.4419499,0.6889306,1.98213,1.895182,0.5038134,0.6649687,0.5177573,1.324067
0.4,0.86499205,1.63447291,0.45776914,0.2348787,0.832874,0.9325856,0.4036023,0.5371897,1.755817,2.05138,0.4975447,0.6136227,0.5053689,1.150049
0.42,0.81266887,1.54937506,0.42625618,0.2519383,0.8859402,0.8189291,0.4460481,0.4816577,1.473071,2.14157,0.4964813,0.5307708,0.5375718,0.8753793
0.44,0.7575026,1.45399252,0.39464453,0.3088503,0.8303487,0.6999986,0.4406742,0.4886301,1.169281,2.152389,0.4715602,0.5134414,0.5538579,0.7034972
0.45,0.74200884,1.42029049,0.38765106,0.333859,0.8449796,0.6311081,0.4682355,0.4891225,1.115851,2.116107,0.4458654,0.4967816,0.5263876,0.6937999
0.46,0.71669117,1.37617427,0.37324214,0.3427279,0.8593184,0.5666397,0.4852087,0.4894001,1.043627,2.061712,0.4132383,0.4814317,0.4971348,0.6431643
0.48,0.66937783,1.27308311,0.35195399,0.3232868,0.9513967,0.5667593,0.4651785,0.4805679,0.8267686,1.907294,0.344952,0.49447,0.4971089,0.5053734
0.5,0.6572504,1.22002958,0.35407182,0.2819833,1.014214,0.5892218,0.4879673,0.4176163,0.7976882,1.775321,0.2915337,0.50375,0.5690002,0.5014586
0.55,0.58024362,1.02367518,0.32889598,0.2165091,0.9631706,0.5786651,0.5461337,0.3568811,0.6785634,1.417044,0.256304,0.4861671,0.4143047,0.468937
0.6,0.49257239,0.74965675,0.32365154,0.2054274,0.6415582,0.5228443,0.5028103,0.3542598,0.8038179,0.9053432,0.2565772,0.3909414,0.3914236,0.443293
0.65,0.42029298,0.6050731,0.2919419,0.1464098,0.5110117,0.551811,0.4414068,0.3651741,0.5893961,0.7073459,0.2524542,0.3267079,0.3735297,0.3579756
0.667,0.41422534,0.58652627,0.2925404,0.1561293,0.5051562,0.5877029,0.4445027,0.3779492,0.538056,0.6677497,0.2541211,0.3482211,0.3421078,0.3347827
0.7,0.40851119,0.57318876,0.29114561,0.1636315,0.5990415,0.5512133,0.4378119,0.3859973,0.414204,0.6349229,0.2545786,0.4158933,0.2935186,0.3428102
0.75,0.40901743,0.62129384,0.26926914,0.1654161,0.8053156,0.489482,0.5021805,0.4273176,0.3148345,0.5602865,0.2392034,0.4069864,0.2572651,0.330904
0.8,0.39071216,0.66417157,0.22984422,0.1822486,0.9641882,0.4929194,0.4020413,0.4483795,0.2948264,0.4508641,0.2275041,0.3257017,0.2010341,0.3081264
0.85,0.37769854,0.68358229,0.20868912,0.2142195,1.007496,0.5103607,0.444814,0.4384704,0.2514369,0.3626403,0.2019775,0.2377137,0.2371372,0.2484177
0.9,0.37123894,0.63189524,0.21810316,0.2160147,0.9170583,0.4731941,0.4716359,0.4106802,0.2838846,0.3447135,0.1666867,0.2988482,0.2612011,0.239711
0.95,0.35644775,0.58740671,0.21629817,0.2462101,0.7761345,0.4858734,0.5743393,0.3748234,0.306363,0.2670564,0.1267453,0.2807958,0.2551169,0.2274671
1.0,0.33533449,0.58892741,0.19093901,0.2591359,0.7621265,0.4548999,0.6109264,0.337881,0.2876816,0.2228295,0.09310376,0.2381538,0.2031166,0.2188244
1.1,0.29790446,0.52751318,0.16823669,0.2235497,0.6895744,0.4223717,0.5352609,0.288932,0.1990258,0.1574143,0.100169,0.2302915,0.1926236,0.2377362
1.2,0.27465364,0.47743643,0.15799931,0.1831646,0.6352693,0.3696273,0.460597,0.2767893,0.1919034,0.1472496,0.08248399,0.2208823,0.1810494,0.2721739
1.3,0.25350925,0.41972394,0.15311717,0.1768385,0.5578076,0.3576389,0.3697331,0.3021827,0.1873741,0.1486249,0.08714358,0.2023619,0.1606916,0.2382049
1.4,0.22716665,0.36501561,0.14137666,0.1830974,0.4379476,0.321407,0.3823456,0.2775466,0.1723409,0.1467073,0.08507234,0.1957799,0.1114988,0.1850897
1.5,0.20287286,0.33148481,0.12416073,0.1678752,0.4093595,0.256998,0.34061,0.2760015,0.163801,0.142215,0.0800646,0.1518967,0.09080992,0.15197
1.6,0.18648266,0.30667464,0.11339634,0.1429424,0.3614595,0.2526747,0.3178473,0.2691681,0.1528518,0.1351542,0.07448655,0.1268312,0.07909872,0.1387948
1.7,0.18256078,0.30743455,0.10840824,0.1674856,0.3363788,0.2587204,0.3035465,0.3066158,0.1444515,0.1254744,0.06962306,0.1079579,0.07013917,0.1177755
1.8,0.18191083,0.31787878,0.10410116,0.183478,0.3156205,0.2190382,0.3270293,0.3529752,0.148535,0.1135932,0.07228765,0.09978434,0.07348384,0.09519389
1.9,0.1728334,0.29289814,0.10198558,0.1972015,0.2981035,0.1749626,0.3189738,0.3071933,0.1550874,0.1130076,0.07727288,0.100982,0.07794274,0.08044013
2.0,0.16247282,0.26171617,0.10086277,0.1985839,0.2842675,0.1529699,0.2948828,0.2376452,0.1563504,0.1205691,0.07930853,0.1122333,0.08289779,0.06749263
2.2,0.15132318,0.23423747,0.0977585,0.1566434,0.2676383,0.167634,0.2325407,0.232521,0.1518406,0.1243085,0.07387393,0.1098754,0.0914112,0.05626791
2.4,0.14440788,0.23119329,0.0902,0.1115923,0.2596099,0.1611328,0.2033244,0.2604216,0.1379804,0.1158493,0.05732512,0.1334725,0.09312801,0.05465031
2.5,0.14168062,0.22967009,0.08740102,0.1054422,0.2559194,0.1437488,0.2282646,0.2426166,0.1356363,0.109739,0.05125905,0.1405363,0.09153631,0.05378828
2.6,0.13503108,0.22357421,0.0815541,0.09678335,0.2516585,0.128692,0.2473405,0.2111869,0.1315811,0.1033809,0.04905279,0.124229,0.08919217,0.05224469
2.8,0.121775,0.20302559,0.07304079,0.07798697,0.2499613,0.1203409,0.2198009,0.1551936,0.1230341,0.08827437,0.04698424,0.1251853,0.08478448,0.04797881
3.0,0.11281164,0.18430849,0.0690498,0.06901398,0.2396946,0.1386374,0.1585815,0.1546933,0.1130942,0.08482184,0.03298889,0.1102428,0.08184877,0.05731071
3.2,0.10874495,0.18235485,0.06484865,0.06100202,0.2238064,0.1123717,0.1905639,0.1630529,0.1023156,0.07809715,0.03577696,0.08378894,0.07827342,0.06714551
3.4,0.10232806,0.17275961,0.06061042,0.06239077,0.2079208,0.1006684,0.1888439,0.15512,0.0874455,0.06907897,0.03332857,0.07114558,0.07509728,0.07456894
3.5,0.09826548,0.16717387,0.05776085,0.06240597,0.1990344,0.09854022,0.1887556,0.1429832,0.08374811,0.06422901,0.03133083,0.06157639,0.0728311,0.07548543
3.6,0.09468829,0.16516165,0.05428544,0.06211835,0.1927335,0.09332308,0.1968264,0.1267521,0.08097071,0.0600681,0.02932804,0.05197103,0.06998774,0.07749212
3.8,0.08919132,0.16046278,0.04957593,0.06125429,0.1825126,0.07865341,0.1953018,0.1197254,0.07751516,0.0584038,0.02513265,0.03944189,0.06432277,0.07884072
4.0,0.08587928,0.15486534,0.04762364,0.06160761,0.1719814,0.08177996,0.1869544,0.1243106,0.07314857,0.05536984,0.02219305,0.0369198,0.05849202,0.07191484
4.2,0.08243002,0.15004726,0.04528379,0.06788582,0.1663985,0.07925768,0.1841883,0.1133726,0.06804812,0.05149956,0.0223105,0.03328168,0.0549958,0.06549171
4.4,0.0791963,0.14327308,0.04377692,0.07046687,0.1595795,0.07983176,0.1772152,0.1044984,0.06257877,0.05075113,0.02233739,0.03613953,0.05203141,0.05572937
4.6,0.07635315,0.13512445,0.04314396,0.06866524,0.1518031,0.07244467,0.1641846,0.1079085,0.05702881,0.0497787,0.0228942,0.03964865,0.04953507,0.0559931
4.8,0.07360394,0.12790749,0.04235514,0.06379087,0.1435224,0.07114153,0.1479917,0.1164434,0.05228104,0.04737412,0.02141546,0.04258724,0.04723053,0.05586504
5.0,0.07098671,0.12235007,0.04118602,0.05856387,0.136226,0.07385391,0.1350894,0.1193463,0.04798909,0.04430191,0.01749383,0.04821607,0.04490371,0.05486967
5.5,0.06412696,0.10798261,0.03808268,0.04723005,0.1178457,0.08228255,0.107161,0.1141692,0.03947978,0.03625451,0.01815879,0.05279741,0.03910134,0.05091624
6.0,0.05512037,0.09148432,0.03321067,0.03343695,0.09917849,0.07272877,0.08908115,0.09647933,0.03375269,0.03031437,0.01832169,0.05507277,0.03415846,0.04379941
6.5,0.04854894,0.07773588,0.03032062,0.02609244,0.08193544,0.05553265,0.08119981,0.08137928,0.02984421,0.02659212,0.01915886,0.04769628,0.03337851,0.05122878
7.0,0.04342734,0.06886007,0.02738792,0.02492531,0.07216965,0.04268391,0.07142416,0.07319874,0.02677806,0.02393889,0.01726817,0.03919115,0.03281703,0.05330571
7.5,0.03895861,0.06182726,0.02454861,0.02414026,0.06323241,0.03533483,0.06778845,0.06298727,0.02492582,0.02110363,0.01427566,0.03289521,0.03195342,0.04990777
8.0,0.0347555,0.05588132,0.02161625,0.02405687,0.05287457,0.02947698,0.06830865,0.05292677,0.02295966,0.01841767,0.01277143,0.02522922,0.03159583,0.04369286
8.5,0.03086473,0.05013356,0.01900188,0.02326789,0.0464544,0.0270776,0.0643288,0.04391143,0.02065998,0.0160032,0.01158282,0.01958287,0.02982943,0.03681363
9.0,0.02731869,0.04479222,0.01666162,0.02119667,0.04051819,0.02569318,0.0579256,0.03943744,0.01863046,0.01400004,0.00957765,0.01579491,0.02745891,0.03027252
9.5,0.02378539,0.03871503,0.01461306,0.01841805,0.0366147,0.02320012,0.04811979,0.03571273,0.01682181,0.01246338,0.00790666,0.01292378,0.02501167,0.02444664
10.0,0.0211004,0.03435386,0.01296002,0.01705645,0.03325455,0.02173044,0.04186963,0.03215555,0.01510901,0.01110534,0.00670129,0.01123654,0.02252735,0.01935826
11.0,0.01688478,0.0279043,0.01021691,0.0143706,0.02716601,0.01953946,0.03340293,0.02572909,0.01199689,0.00872207,0.00473713,0.00834555,0.0178881,0.01383473
12.0,0.01322216,0.02178501,0.00802504,0.01149521,0.0222634,0.01606548,0.02505117,0.02008399,0.00946344,0.00677925,0.00376665,0.00666725,0.01392507,0.00988287
13.0,0.0106782,0.01783991,0.00639151,0.00894726,0.01858965,0.01408311,0.02089647,0.01494676,0.00761327,0.00564492,0.00287308,0.00583971,0.01074004,0.00728592
14.0,0.00893942,0.01518821,0.00526153,0.00688504,0.01587805,0.01225421,0.01769866,0.01248374,0.00648452,0.00485576,0.00219354,0.00501508,0.00891968,0.00566538
15.0,0.00757578,0.01304334,0.00440014,0.00529267,0.01380801,0.01041517,0.01498149,0.01083634,0.00571073,0.00420441,0.00172507,0.00422633,0.00746726,0.00466613
20.0,0.00363561,0.0062085,0.00212896,0.00278745,0.00749408,0.00479654,0.00624964,0.00513036,0.00306038,0.00225762,0.00078814,0.00168745,0.00326364,0.00247638

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-286 Horizontal-1 pSa (g),RSN-286 Horizontal-2 pSa (g),RSN-286 Vertical pSa (g),RSN-1511 Horizontal-1 pSa (g),RSN-1511 Horizontal-2 pSa (g),RSN-1511 Vertical pSa (g),RSN-1521 Horizontal-1 pSa (g),RSN-1521 Horizontal-2 pSa (g),RSN-1521 Vertical pSa (g),RSN-1541 Horizontal-1 pSa (g),RSN-1541 Horizontal-2 pSa (g),RSN-1541 Vertical pSa (g),RSN-3750 Horizontal-1 pSa (g),RSN-3750 Horizontal-2 pSa (g),RSN-3750 Vertical pSa (g),RSN-3947 Horizontal-1 pSa (g),RSN-3947 Horizontal-2 pSa (g),RSN-3947 Vertical pSa (g),RSN-3964 Horizontal-1 pSa (g),RSN-3964 Horizontal-2 pSa (g),RSN-3964 Vertical pSa (g),RSN-4852 Horizontal-1 pSa (g),RSN-4852 Horizontal-2 pSa (g),RSN-4852 Vertical pSa (g),RSN-4882 Horizontal-1 pSa (g),RSN-4882 Horizontal-2 pSa (g),RSN-4882 Vertical pSa (g),RSN-6928 Horizontal-1 pSa (g),RSN-6928 Horizontal-2 pSa (g),RSN-6928 Vertical pSa (g),RSN-8166 Horizontal-1 pSa (g),RSN-8166 Horizontal-2 pSa (g),RSN-8166 Vertical pSa (g)
