
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2018-07-27


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 139,143,286,1165,1511,1521,1541,3750,4848,4882,8166
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD100
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD100, 139, -, 1.0, -, 6.7, 11.3, 1.4, "Tabas_ Iran", 1978, "Dayhook", 7.35, Reverse, 0.0, 13.94, 471.53, 0.25, 1.0, RSN139_TABAS_DAY-L1.AT2, RSN139_TABAS_DAY-T1.AT2 , RSN139_TABAS_DAY-V1.AT2  
2, RotD100, 143, -, 1.0, 6.188, 8.3, 16.5, 11.8, "Tabas_ Iran", 1978, "Tabas", 7.35, Reverse, 1.79, 2.05, 766.77, 0.125, 1.0, RSN143_TABAS_TAB-L1.AT2, RSN143_TABAS_TAB-T1.AT2 , RSN143_TABAS_TAB-V1.AT2  
3, RotD100, 286, -, 1.0, -, 16.8, 27.0, 0.2, "Irpinia_ Italy-01", 1980, "Bisaccia", 6.9, Normal, 17.51, 21.26, 496.46, 0.15, 1.0, RSN286_ITALY_A-BIS000.AT2, RSN286_ITALY_A-BIS270.AT2 , RSN286_ITALY_A-BIS-UP.AT2  
4, RotD100, 1165, -, 1.0, 5.369, 8.2, 15.1, 0.8, "Kocaeli_ Turkey", 1999, "Izmit", 7.51, strike slip, 3.62, 7.21, 811.0, 0.125, 1.0, RSN1165_KOCAELI_IZT180.AT2, RSN1165_KOCAELI_IZT090.AT2 , RSN1165_KOCAELI_IZT-UP.AT2  
5, RotD100, 1511, -, 1.0, 4.732, 17.5, 29.5, 3.7, "Chi-Chi_ Taiwan", 1999, "TCU076", 7.62, Reverse Oblique, 2.74, 2.74, 614.98, 0.125, 1.0, RSN1511_CHICHI_TCU076-E.AT2, RSN1511_CHICHI_TCU076-N.AT2 , RSN1511_CHICHI_TCU076-V.AT2  
6, RotD100, 1521, -, 1.0, -, 21.8, 24.9, 3.0, "Chi-Chi_ Taiwan", 1999, "TCU089", 7.62, Reverse Oblique, 0.0, 9.0, 671.52, 0.0875, 1.0, RSN1521_CHICHI_TCU089-E.AT2, RSN1521_CHICHI_TCU089-N.AT2 , RSN1521_CHICHI_TCU089-V.AT2  
7, RotD100, 1541, -, 1.0, -, 17.8, 33.3, 1.6, "Chi-Chi_ Taiwan", 1999, "TCU116", 7.62, Reverse Oblique, 12.38, 12.38, 493.09, 0.0375, 1.0, RSN1541_CHICHI_TCU116-E.AT2, RSN1541_CHICHI_TCU116-N.AT2 , RSN1541_CHICHI_TCU116-V.AT2  
8, RotD100, 3750, -, 1.0, -, 8.0, 15.3, 0.9, "Cape Mendocino", 1992, "Loleta Fire Station", 7.01, Reverse, 23.46, 25.91, 515.65, 0.0625, 1.0, RSN3750_CAPEMEND_LFS270.AT2, RSN3750_CAPEMEND_LFS360.AT2 , RSN3750_CAPEMEND_LFS-UP.AT2  
9, RotD100, 4848, -, 1.0, -, 6.1, 16.6, 0.7, "Chuetsu-oki_ Japan", 2007, "Joetsu Ogataku", 6.8, Reverse, 16.77, 17.93, 414.23, 0.0875, 1.0, RSN4848_CHUETSU_65011NS.AT2, RSN4848_CHUETSU_65011EW.AT2 , RSN4848_CHUETSU_65011UD.AT2  
10, RotD100, 4882, -, 1.0, -, 7.4, 22.7, 1.8, "Chuetsu-oki_ Japan", 2007, "Ojiya City", 6.8, Reverse, 15.89, 23.44, 430.16, 0.1, 1.0, RSN4882_CHUETSU_65321NS.AT2, RSN4882_CHUETSU_65321EW.AT2 , RSN4882_CHUETSU_65321UD.AT2  
11, RotD100, 8166, -, 1.0, -, -, -, -, "Duzce_ Turkey", 1999, "IRIGM 498", 7.14, strike slip, 3.58, 3.58, 425.0, 0.1, 1.0, RSN8166_DUZCE_498-NS.AT2, RSN8166_DUZCE_498-EW.AT2 , RSN8166_DUZCE_498-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-139 RotD100 pSa (g),RSN-143 RotD100 pSa (g),RSN-286 RotD100 pSa (g),RSN-1165 RotD100 pSa (g),RSN-1511 RotD100 pSa (g),RSN-1521 RotD100 pSa (g),RSN-1541 RotD100 pSa (g),RSN-3750 RotD100 pSa (g),RSN-4848 RotD100 pSa (g),RSN-4882 RotD100 pSa (g),RSN-8166 RotD100 pSa (g)
0.01,0.3720488,0.61786627,0.22402956,0.4198511,0.8771414,0.1063496,0.2476936,0.4303343,0.3717079,0.1902061,0.2777546,0.3546336,0.408681,0.4081836
0.02,0.37624673,0.62561333,0.22627651,0.4218704,0.8842586,0.1066372,0.2493114,0.4377989,0.3740771,0.1903011,0.2795323,0.3490275,0.4024876,0.4434119
0.022,0.3832372,0.64955576,0.22610954,0.4257554,0.9271514,0.1063364,0.2499759,0.4521659,0.3770374,0.1917353,0.2805343,0.3521987,0.4040191,0.4486994
0.025,0.39459179,0.69201388,0.22499936,0.435618,1.003861,0.107435,0.2499716,0.4614819,0.3783166,0.190728,0.2842088,0.3597979,0.4087682,0.4603227
0.029,0.38848879,0.665956,0.22662689,0.4320463,0.9572087,0.1072221,0.2529859,0.4710521,0.377683,0.1908217,0.281825,0.3692192,0.4101158,0.4231969
0.03,0.39131489,0.67758447,0.22599004,0.4263078,0.9767402,0.1070679,0.2538395,0.4835636,0.3764539,0.1903418,0.2801549,0.3681632,0.4084417,0.4333893
0.032,0.39764559,0.68225556,0.23176362,0.4127676,0.965174,0.1071593,0.2584276,0.5370603,0.3794097,0.192133,0.2803685,0.3740017,0.4031008,0.464499
0.035,0.40724318,0.69980166,0.23699145,0.4208096,0.9637861,0.1062852,0.2657733,0.6126146,0.3740203,0.1939472,0.2779212,0.3725142,0.3986652,0.4933381
0.036,0.40894965,0.69940606,0.23911692,0.4215955,0.9678077,0.1066066,0.2715288,0.5956028,0.3832605,0.1932651,0.2829796,0.3734385,0.4048728,0.4974883
0.04,0.4192066,0.71816656,0.24469835,0.421784,0.975424,0.1075189,0.2715923,0.6040798,0.3973757,0.1909805,0.2891781,0.3506126,0.4305035,0.5722232
0.042,0.42449836,0.7339191,0.2455296,0.4236087,0.9820321,0.1076287,0.2662475,0.6397215,0.3967352,0.1915032,0.2910053,0.337399,0.4330333,0.6005675
0.044,0.4302962,0.74194509,0.24955327,0.4276362,0.9968185,0.1080269,0.2670563,0.6307865,0.3949804,0.1918758,0.2972323,0.3697102,0.4362134,0.6129217
0.045,0.4359784,0.75396522,0.25210336,0.429687,1.004233,0.1084162,0.2663308,0.6290078,0.3925112,0.1949678,0.3003699,0.3763733,0.4362633,0.6576021
0.046,0.43915558,0.76104804,0.25341058,0.4321737,1.007898,0.1088564,0.2627795,0.6598524,0.3895679,0.1984,0.3000841,0.3814342,0.4364193,0.6532459
0.048,0.43744118,0.75652856,0.25293796,0.4380594,1.010452,0.1094101,0.2584012,0.633217,0.3854264,0.2021101,0.2959962,0.3960369,0.4320449,0.6506988
0.05,0.43652793,0.74665851,0.25521256,0.4433326,1.006456,0.1100429,0.2691103,0.637206,0.3879645,0.2006871,0.3044867,0.4091068,0.4297414,0.6036729
0.055,0.4526382,0.80147699,0.25562972,0.4733096,1.121294,0.107444,0.2811755,0.6680101,0.4220247,0.20133,0.3050924,0.4265862,0.4392478,0.5335059
0.06,0.46990567,0.83474167,0.26452656,0.5070781,1.183435,0.1091775,0.294999,0.6260948,0.4231867,0.2064016,0.3165896,0.4547714,0.472722,0.5745067
0.065,0.45479987,0.78752992,0.2626477,0.5006747,1.102342,0.1129199,0.30484,0.572671,0.3898751,0.2035691,0.3135706,0.3999608,0.517028,0.5853474
0.067,0.47399666,0.83676999,0.26850011,0.5094373,1.166639,0.1142376,0.2980019,0.6672041,0.4065529,0.1974659,0.3149166,0.4381383,0.5406433,0.5607264
0.07,0.52274325,0.97538208,0.2801574,0.5445905,1.38451,0.1147476,0.2893856,0.7092472,0.4244008,0.1998546,0.3463815,0.5034776,0.5554689,0.6781115
0.075,0.56818203,1.16867342,0.27623698,0.5859712,1.742471,0.1155735,0.304271,0.6195997,0.4777732,0.2049528,0.3767885,0.5767246,0.5607497,0.6851271
0.08,0.62181688,1.4099228,0.27423929,0.6590976,2.124506,0.1144178,0.3488999,0.619662,0.5246804,0.2110754,0.3924905,0.5981609,0.505788,0.7412072
0.085,0.64682162,1.37002724,0.30537948,0.7657892,2.06012,0.1166525,0.3999455,0.6310431,0.5560316,0.2389862,0.4138434,0.6289832,0.5839515,0.7196916
0.09,0.64528723,1.3365622,0.31154226,0.7433702,2.02035,0.1159067,0.4195953,0.6060658,0.5561211,0.2609452,0.4673911,0.6977961,0.5723172,0.6383008
0.095,0.66035735,1.24519114,0.35020474,0.753859,1.838082,0.1136563,0.3989466,0.7129112,0.644219,0.2807798,0.5533998,0.7098595,0.5857533,0.6724644
0.1,0.72527635,1.40830629,0.37351661,0.9411516,2.062356,0.1111125,0.3429952,0.7308035,0.7095238,0.293886,0.6835532,0.7092021,0.6849753,0.7084807
0.11,0.77706454,1.58244208,0.38158066,0.8677369,2.339365,0.109117,0.3881562,0.6397931,0.6767576,0.2795574,0.7454136,0.7115523,0.8525066,0.9377542
0.12,0.85439835,1.77138007,0.4121061,1.111489,2.598506,0.1275987,0.400029,0.6400445,0.7466065,0.3134599,0.7168235,0.7400165,0.9875182,1.01629
0.13,0.92526067,1.93285017,0.44292482,1.208187,2.823991,0.179537,0.4276643,0.7821228,0.7286854,0.3122636,0.695599,0.7307833,1.138268,1.150766
0.133,0.93396705,1.96362426,0.44422677,1.168474,2.877504,0.1799781,0.4429732,0.7601668,0.7433951,0.3140466,0.7215881,0.7197147,1.190772,1.155025
0.14,0.98130716,2.04119298,0.47176517,1.296447,2.956703,0.1616794,0.5002498,0.7044219,0.8148901,0.4018669,0.7609466,0.6891101,1.419146,1.088918
0.15,1.02314569,2.11869051,0.49409156,1.318712,3.09444,0.1745288,0.6119981,0.853765,0.8350515,0.4105744,0.657779,0.7910698,1.479126,1.027558
0.16,1.04829495,2.24951755,0.48851466,1.399811,3.321818,0.1720972,0.5807319,0.9516724,0.8764025,0.4098157,0.6010354,0.8132224,1.300841,1.103797
0.17,1.06803246,2.14089683,0.53281098,1.324413,3.116818,0.1542647,0.5666774,1.08746,0.9462883,0.3865907,0.6924626,0.9622274,1.345509,1.165646
0.18,1.14648514,2.28590328,0.57501478,1.319734,3.355215,0.154622,0.6902443,1.04359,0.902153,0.4221531,0.8196601,1.290142,1.379981,1.233842
0.19,1.19951684,2.35059099,0.61211867,1.453309,3.404958,0.1696801,0.733196,0.9388431,0.862251,0.458897,0.921887,1.387721,1.487036,1.376907
0.2,1.22904898,2.47151096,0.61118944,1.416871,3.662208,0.2071736,0.6902844,1.086151,1.016226,0.4576715,0.9351503,1.27906,1.487412,1.281331
